Text,Intent
صدای تو خیلی بلند است,audio_volume_down
آرام تر,audio_volume_down
صدا را کم کن,audio_volume_down
آن خیلی بلند است صدا را کاهش بده,audio_volume_down
آیا میتوانی صدای خودت را کمتر کنی,audio_volume_down
صدا رو به ده درصد کاهش بده.,audio_volume_down
گوگل لطفا صدای همه ی بلندگوها رو کم کن.,audio_volume_down
صداش واقعا زیاد است لطفا صدای موسیقی را کم کن,audio_volume_down
صدای بم رو خاموش کن.,audio_volume_down
صدای تو خیلی بلند است لطفا آن را آرامتر تکرار کن,audio_volume_down
من میخواهم بلندگوی من را آرام تر کنم,audio_volume_down
صدا را کمتر کن,audio_volume_down
لطفا صدا را کم کن,audio_volume_down
صدا را به بیست کاهش بده,audio_volume_down
صدا را به ده کاهش بده,audio_volume_down
نه نه آن را کمتر کن,audio_volume_down
صدای بلندگوها را به پنج درصد کاهش بده,audio_volume_down
صدا را کاهش بده,audio_volume_down
پایین,audio_volume_down
صدا رو کم کن.,audio_volume_down
صدا را کمتر کن,audio_volume_down
صدا را تا خیلی ملایم کاهش بده,audio_volume_down
صدا را کم کن,audio_volume_down
لطفا صدا را کمی کاهش بده,audio_volume_down
الان رادیو را روشن کن با صدای کم,audio_volume_down
بلندگوها را پایین بیاورید,audio_volume_down
صدای پایین تر,audio_volume_down
صدا را بیست درصد کمتر کن,audio_volume_down
صدای بلندگو را کمتر کن,audio_volume_down
صدای بلندگوها را کم کنید,audio_volume_down
صدای اسپیکر را کاهش بده,audio_volume_down
لطفا آرام تر صحبت کن.,audio_volume_down
لطفا صدا را کم کن,audio_volume_down
لطفا صدای بلندگو را کمتر کن,audio_volume_down
صدای بلندگوها را کمتر کن,audio_volume_down
لطفا بلندگوها را برای پایین ترین سطح صدا تنظیم کن,audio_volume_down
صدا را کمتر کن لطفا,audio_volume_down
آیا میتوانی آن را کم کنی,audio_volume_down
صدا را به نصف کاهش بده,audio_volume_down
صدای بلندگوها را کمتر کن,audio_volume_down
صدا را کمتر کن,audio_volume_down
آیا میتوانی آرام تر صحبت کنی لطفا,audio_volume_down
صدای بلندگو را کم کن,audio_volume_down
صدای بلندگو را کاهش بده,audio_volume_down
صدا را کم کن,audio_volume_down
صدای رسانه را کم کن,audio_volume_down
لطفا نرم تر صحبت کن,audio_volume_down
صدا را کم کن,audio_volume_down
آیا میتوانی آن را کمی ساکت تر کنی,audio_volume_down
صدا را قطع کن olly,audio_volume_down
زیادی بلند,audio_volume_down
لطفا صدا را کمتر کن,audio_volume_down
صدای بلندگو را کمتر کن,audio_volume_down
لطفا صدای بلندگو رو کم کن.,audio_volume_down
لطفا صدا را کم کن,audio_volume_down
صدا را به پنجاه درصد کاهش بده,audio_volume_down
لطفا صدا ی موسیقی را کمتر کن,audio_volume_down
لطفا ملایم تر صحبت کن,audio_volume_down
صدای بلندگو رو پایین بیار,audio_volume_down
لطفا صدای بلندگو را کمتر کن,audio_volume_down
صدا را قطع کن,audio_volume_down
صدا را کاهش بده,audio_volume_down
بیست درصد کاهش بده,audio_volume_down
صدا را بر روی کم تنظیم کن,audio_volume_down
نرم تر,audio_volume_down
صدا را کمتر کن,audio_volume_down
